pattern_id,point_index,x,z
pat_05,15,6,-0.585068639
pat_05,16,5.9625788743841595,-1.152957292
pat_05,17,5.859787047795889,-1.71260895
pat_05,18,5.676344412338364,-2.250905119
pat_05,19,5.383184378434488,-2.737068026
pat_05,20,4.945937556757788,-3.095126252
pat_05,21,4.3955186372598956,-3.218580934
pat_05,22,3.8374203440912495,-3.118211464
pat_05,23,3.3178218330847233,-2.887192073
pat_05,24,2.8347296242531956,-2.586313277
pat_05,25,2.378787994356383,-2.245424229
pat_05,26,1.942134865288353,-1.880058721
pat_05,27,1.5188314383325958,-1.49926707
pat_05,28,1.1042726166936645,-1.108955628
pat_05,29,0.6946727953012909,-0.713435313
pat_05,30,0.28668127781326513,-0.316253906
pat_05,31,-0.122918544,0.079266409
pat_05,32,-0.537477365,0.4695778512408384
pat_05,33,-0.960780792,0.850369502
pat_05,34,-1.397433921,1.215735010256329
pat_05,35,-1.853375551,1.5566240589478983
pat_05,36,-2.33646776,1.8575028541740726
pat_05,37,-2.856066271,2.0885222460402915
pat_05,38,-3.414164564,2.1888917158245325
pat_05,39,-3.964583484,2.0654370340754964
pat_05,40,-4.401830305,1.7073788071369047
pat_05,41,-4.694990339,1.2212159007552918
pat_05,42,-4.878432975,0.682919732
pat_05,43,-4.981224801,0.12326807403761333
pat_05,44,-5.018645927,-0.44462058
pat_05,45,-4.996398884,-1.01332331
pat_05,46,-4.912753167,-1.576224413
pat_05,47,-4.757921496,-2.123645438
pat_05,48,-4.510742983,-2.635421456
pat_05,49,-4.137075416,-3.061401926
pat_05,50,-3.625335979,-3.298315894
pat_05,51,-3.05998117,-3.284201132
pat_05,52,-2.524681591,-3.094059649
pat_05,53,-2.031737272,-2.809957228
pat_05,54,-1.571965563,-2.474353407
pat_05,55,-1.135952982,-2.108261025
pat_05,56,-0.71655527,-1.723187671
pat_05,57,-0.308389446,-1.326202725
pat_05,58,0.09281154,-0.922168502
pat_05,59,0.49067703655728473,-0.514844609
pat_06,0,0.46050547947475545,1.1004790075148059
pat_06,1,0.41774795301111317,1.7682017412853925
pat_06,2,0.022547782,2.311485870757773
pat_06,3,-0.584584322,2.602871551
pat_06,4,-1.259081999,2.604681625676807
pat_06,5,-1.879768651,2.3387554086881575
pat_06,6,-2.358833,1.8620746118412952
pat_06,7,-2.642967226,1.2484134797206063
pat_06,8,-2.710013186,0.5751492859150983
pat_06,9,-2.563448504,-0.085667832
pat_06,10,-2.226318866,-0.672879401
pat_06,11,-1.735138763,-1.13922818
pat_06,12,-1.134407925,-1.45241874
pat_06,13,-0.471930407,-1.594848556
pat_06,14,0.2050315695124167,-1.562326371
pat_06,15,0.8526930173032636,-1.362276583
pat_06,16,1.432891913706338,-1.011581634
