X,Z,Y,Potential
-7.916667,-11.875000,0.000000,0.000000
-7.708333,-11.875000,0.000000,0.000000
-7.500000,-11.875000,0.000000,0.000000
-7.291667,-11.875000,0.000000,0.000000
-7.083333,-11.875000,0.000000,0.000000
-6.875000,-11.875000,0.000000,0.000000
-6.666667,-11.875000,0.000000,0.000000
-6.458333,-11.875000,0.000000,0.000000
-6.250000,-11.875000,0.000000,0.000000
-6.041667,-11.875000,0.000000,0.000000
-5.833333,-11.875000,0.000000,0.000000
-5.625000,-11.875000,0.000000,0.000000
-5.416667,-11.875000,0.000000,0.000000
-5.208333,-11.875000,0.000000,0.000000
-5.000000,-11.875000,0.000000,0.000000
-4.791667,-11.875000,0.000000,0.000000
-4.583333,-11.875000,0.000000,0.000000
-4.375000,-11.875000,0.000000,0.000000
-4.166667,-11.875000,0.000000,0.000000
-3.958333,-11.875000,0.000000,0.000000
-3.750000,-11.875000,0.000000,0.000000
-3.541667,-11.875000,0.000000,0.000000
-3.333333,-11.875000,0.000000,0.000000
-3.125000,-11.875000,0.000000,0.000000
-2.916667,-11.875000,0.000000,0.000000
-2.708333,-11.875000,0.000000,0.000000
-2.500000,-11.875000,0.000000,0.000000
-2.291667,-11.875000,0.000000,0.000000
-2.083333,-11.875000,0.000000,0.000000
-1.875000,-11.875000,0.000000,0.000000
-1.666667,-11.875000,0.000000,0.000000
-1.458333,-11.875000,0.000000,0.000000
-1.250000,-11.875000,0.000000,0.000000
-1.041666,-11.875000,0.000000,0.000000
-0.833333,-11.875000,0.000000,0.000000
-0.625000,-11.875000,0.000000,0.000000
-0.416667,-11.875000,0.000000,0.000000
-0.208333,-11.875000,0.000000,0.000000
0.000000,-11.875000,0.000000,0.000000
0.208333,-11.875000,0.000000,0.000000
0.416666,-11.875000,0.000000,0.000000
0.624999,-11.875000,0.000000,0.000000
0.833334,-11.875000,0.000000,0.000000
1.041667,-11.875000,0.000000,0.000000
1.250000,-11.875000,0.000000,0.000000
1.458333,-11.875000,0.000000,0.000000
